GENESIS-Tabelle: 63111-0001
Ausstattung privater Haushalte (Laufende;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wirtschaftsrechnungen): Deutschland, Stichtag,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebrauchsgüter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laufende Wirtschaftsrechnungen: Allgemeine Angaben;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Erfasste Haushalte;Hochgerechnete Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte
01.01.2007;7828;35887;76,7;36,0;-;46,3;-;2,7;-;11,1;-;-;80,1;-;-;95,9;9,3;62,9;-;-;.;20,0;12,7;8,6;84,9;70,0;48,7;.;.;29,0;39,1;50,0;11,9;-;-;-;-;-;4,4;78,2;.;.;.;14,9;72,8;63,8;25,1;-;-;.;-;60,0;-;-;26,0;99,4;95,4;81,8;-;48,8;18,6;12,3;99,4;73,6;62,4;68,7;.;40,0;-;-;-;28,9
01.01.2009;7947;36462;76,7;34,2;-;47,3;-;3,8;-;10,6;-;-;80,5;-;-;95,9;25,8;71,6;-;-;-;20,4;11,1;10,9;87,7;60,0;64,1;-;-;39,8;39,9;48,5;19,9;-;-;-;-;-;5,3;81,5;-;-;-;20,3;78,8;62,9;40,0;-;-;-;-;68,9;-;-;32,1;99,5;91,5;86,7;-;52,0;19,2;27,0;98,7;54,1;64,8;71,9;-;38,6;-;-;-;30,1
01.01.2010;7835;36521;77,6;36,8;-;46,0;-;3,5;-;10,5;-;-;80,7;-;-;96,2;36,7;70,8;-;-;-;20,0;10,5;11,4;87,1;54,6;67,7;-;-;41,2;41,0;48,0;21,4;-;-;-;-;-;4,7;79,8;-;-;-;22,5;80,8;63,1;45,5;-;-;-;-;72,9;-;-;-;99,4;91,6;88,9;-;-;20,1;33,2;97,8;54,0;65,7;72,9;-;39,9;-;-;-;29,7
01.01.2011;7888;36640;77,9;36,2;-;46,7;-;3,6;-;10,8;-;-;81,0;-;-;96,2;48,7;71,3;-;-;-;21,6;11,1;12,8;88,1;50,7;71,7;-;-;42,3;42,1;46,4;24,6;-;-;-;-;-;5,2;79,0;-;-;-;23,9;82,0;61,1;51,9;-;-;-;-;75,9;-;-;-;99,6;92,7;90,0;-;-;19,0;38,9;99,1;57,2;67,0;72,0;95,0;39,7;-;-;-;30,3
01.01.2012;7795;36701;77,4;35,6;-;47,3;-;3,2;-;11,2;-;-;80,8;-;-;96,4;58,9;72,2;-;-;-;22,0;10,1;14,0;86,3;45,1;72,8;-;-;42,2;43,0;45,6;27,2;-;-;-;-;-;6,3;78,2;-;-;-;25,5;83,5;59,6;57,5;-;-;-;-;79,4;74,1;26,8;-;99,7;93,4;90,3;-;-;18,8;42,7;99,4;57,2;68,3;72,4;96,0;40,0;-;-;-;28,7
01.01.2014;7885;36343;77,1;34,4;-;48,1;-;3,8;-;11,0;-;-;81,4;3,4;-;97,5;76,4;74,7;-;-;-;19,0;8,2;12,5;85,5;34,5;75,6;-;-;44,0;42,9;46,5;17,9;42,9;46,5;17,9;-;-;17,6;-;-;-;-;26,7;87,0;54,0;68,3;-;-;-;-;78,8;-;-;-;99,9;91,5;93,6;-;-;-;48,3;99,8;50,8;68,3;72,9;95,6;40,3;62,3;31,7;12,4;26,0
01.01.2015;7747;36650;77,4;34,4;-;48,3;-;3,4;-;11,3;-;-;80,9;4,2;-;97,9;81,3;-;67,0;17,5;-;18,3;7,7;11,9;84,9;32,9;75,1;-;-;41,4;-;-;-;45,9;46,5;16,7;-;-;17,9;-;-;-;-;25,3;88,3;51,3;73,5;68,0;31,8;-;76,6;88,2;83,1;43,9;-;99,9;91,5;93,5;-;-;-;49,7;99,9;50,8;69,5;73,3;93,9;39,5;61,8;32,5;13,1;26,3
01.01.2016;7800;37207;77,3;34,0;-;48,8;-;3,5;-;11,3;-;-;80,7;5,1;-;97,9;84,4;-;65,3;20,4;-;17,8;7,5;12,0;83,5;32,7;73,6;-;-;40,3;-;-;-;47,3;46,2;15,8;-;-;19,1;-;-;-;-;25,8;88,6;49,4;75,4;68,5;37,6;-;76,3;89,3;84,3;48,9;-;99,9;91,0;95,1;-;-;-;50,8;100,0;50,3;69,8;73,3;96,2;41,1;61,4;32,4;14,3;25,6
01.01.2017;7874;37381;78,4;33,9;-;50,1;-;4,2;-;11,4;-;-;79,9;6,1;-;97,8;86,9;-;64,5;22,0;-;17,3;7,2;11,5;81,9;30,4;72,1;-;-;37,7;-;-;-;47,0;45,5;15,1;-;-;19,0;-;-;-;-;26,1;90,0;48,6;79,0;70,8;42,6;-;76,9;91,1;85,9;53,1;-;100,0;90,9;95,5;-;-;-;50,6;99,9;51,6;71,5;73,9;96,4;42,2;60,4;32,9;15,1;25,3
01.01.2019;7799;37869;77,1;32,6;-;49,2;-;4,4;-;10,6;-;-;79,3;9,0;-;96,2;89,5;-;60,6;24,4;-;14,0;5,5;8,8;74,3;25,6;66,2;-;-;31,8;-;-;-;44,5;44,6;11,5;-;15,0;20,1;-;-;-;-;28,1;91,6;44,6;82,4;74,4;48,4;-;76,7;93,5;87,1;61,6;-;99,9;86,4;97,0;81,6;-;-;46,2;99,9;48,0;71,7;73,2;95,8;42,6;53,5;31,5;17,9;26,4
01.01.2020;7488;37993;77,4;33,0;-;49,9;-;4,8;-;10,6;-;-;78,8;11,4;-;96,5;91,1;-;58,6;24,8;-;14,2;5,6;8,9;72,2;25,1;64,1;-;-;29,1;-;-;-;44,9;43,5;10,8;-;17,6;21,3;-;-;-;-;28,5;91,9;44,0;83,4;74,5;51,0;-;77,0;94,3;87,6;63,7;-;99,9;85,3;97,5;84,5;-;-;44,4;99,8;48,0;72,3;73,8;96,1;42,7;53,5;31,0;19,7;26,2
01.01.2021;7630;37993;77,0;33,4;1,2;48,5;0,5;5,3;0,7;-;12,5;1,9;79,0;13,3;1,0;96,2;91,2;-;57,4;25,0;-;-;-;-;68,8;24,0;61,4;-;-;27,1;-;-;-;44,8;43,3;-;9,6;19,4;20,4;-;-;-;-;29,6;92,3;44,0;84,8;75,1;53,2;-;76,7;94,7;88,7;64,4;-;99,9;84,3;97,6;85,6;-;-;41,2;99,9;49,0;73,1;73,8;96,2;42,7;52,1;29,8;21,7;26,4
__________
"Private Haushalte:
Ohne Haushalte von Selbstständigen und Landwirten und ohne
Haushalte mit einem monatlichen Haushaltsnettoeinkommen von
17 895 Euro / 18 000 Euro (ab 2002) und mehr."
© Statistisches Bundesamt (Destatis), 2022
Stand: 26.02.2022 / 15:21:04
